@relation airplane_classification_preprocess_train

@attribute 'Gender = Female' numeric
@attribute 'Gender = Male' numeric
@attribute 'Customer Type = Loyal Customer' numeric
@attribute 'Customer Type = disloyal Customer' numeric
@attribute 'Type of Travel = Business travel' numeric
@attribute 'Type of Travel = Personal Travel' numeric
@attribute 'Class = Eco' numeric
@attribute 'Class = Business' numeric
@attribute 'Class = Eco Plus' numeric
@attribute Age numeric
@attribute 'Flight Distance' numeric
@attribute 'Inflight wifi service' numeric
@attribute 'Departure/Arrival time convenient' numeric
@attribute 'Ease of Online booking' numeric
@attribute 'Gate location' numeric
@attribute 'Food and drink' numeric
@attribute 'Online boarding' numeric
@attribute 'Seat comfort' numeric
@attribute 'Inflight entertainment' numeric
@attribute 'On-board service' numeric
@attribute 'Leg room service' numeric
@attribute 'Baggage handling' numeric
@attribute 'Checkin service' numeric
@attribute 'Inflight service' numeric
@attribute Cleanliness numeric
@attribute 'Departure Delay in Minutes' numeric
@attribute 'Arrival Delay in Minutes' numeric
@attribute satisfaction {'neutral or dissatisfied',satisfied}

@data
1,0,1,0,1,0,0,1,0,0.333333,0.05937,0.4,1,1,1,0.2,0.6,0.75,0.4,0.4,0.4,0.25,0.5,0.4,0.8,0.015957,0.006278,'neutral or dissatisfied'
1,0,1,0,1,0,0,1,0,0.679487,0.084814,0.2,0.2,0.8,0,1,1,0.75,1,1,1,1,0.5,1,1,0.103723,0.101345,satisfied
1,0,1,0,1,0,0,1,0,0.551282,0.760905,1,1,1,1,0.8,1,0.75,0.8,0.8,1,0.75,1,0.8,1,0.007092,0,satisfied
0,1,1,0,0,1,1,0,0,0.615385,0.054725,0.2,0.4,0.8,0.5,0.8,0.8,0.75,0.8,0.2,0.6,0.25,0.75,0.6,0.8,0,0,'neutral or dissatisfied'
0,1,1,0,0,1,1,0,0,0.192308,0.366519,0.8,1,0.8,0.75,1,0.8,1,1,1,0.8,0.75,0.75,0.8,1,0.035461,0.060987,'neutral or dissatisfied'
1,0,1,0,0,1,0,0,1,0.653846,0.193659,0.6,1,0.4,0.5,0.6,0.8,1,0.2,0.2,0.4,0,1,0.2,0.6,0,0,'neutral or dissatisfied'
0,1,0,1,1,0,0,1,0,0.25641,0.148021,0.6,0.6,0.6,0.25,0.4,0.6,0.25,0.4,0.4,0.2,0.5,0.5,0.4,0.4,0.026596,0.041256,'neutral or dissatisfied'
0,1,0,1,1,0,1,0,0,0.371795,0.060582,0.4,0,0.4,0,0.2,0.4,0,0.2,0.8,0.6,0.75,0,0.6,0.2,0,0,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.358974,0.20416,0.6,0.4,0.4,0.25,0.4,0.8,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.4,0,0,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.474359,0.067649,0.6,0.6,0.4,0.5,0.4,1,0.75,0.8,0.8,0.8,0.75,0.5,0.8,0.8,0.004433,0.021525,satisfied
