"Gender = Female";"Gender = Male";"Customer Type = Loyal Customer";"Customer Type = disloyal Customer";"Type of Travel = Business travel";"Type of Travel = Personal Travel";"Class = Eco";"Class = Business";"Class = Eco Plus";"Age";"Flight Distance";"Inflight wifi service";"Departure/Arrival time convenient";"Ease of Online booking";"Gate location";"Food and drink";"Online boarding";"Seat comfort";"Inflight entertainment";"On-board service";"Leg room service";"Baggage handling";"Checkin service";"Inflight service";"Cleanliness";"Departure Delay in Minutes";"Arrival Delay in Minutes";"satisfaction"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.3333333333333333;0.05936995153473344;0.4;1.0;1.0;1.0;0.2;0.6;0.75;0.4;0.4;0.4;0.25;0.5;0.4;0.8;0.015957446808510637;0.006278026905829596;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.6794871794871795;0.08481421647819062;0.2;0.2;0.8;0.0;1.0;1.0;0.75;1.0;1.0;1.0;1.0;0.5;1.0;1.0;0.10372340425531915;0.10134529147982063;"satisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.5512820512820513;0.7609046849757674;1.0;1.0;1.0;1.0;0.8;1.0;0.75;0.8;0.8;1.0;0.75;1.0;0.8;1.0;0.0070921985815602835;0.0;"satisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.6153846153846154;0.05472536348949919;0.2;0.4;0.8;0.5;0.8;0.8;0.75;0.8;0.2;0.6;0.25;0.75;0.6;0.8;0.0;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.19230769230769232;0.36651857835218093;0.8;1.0;0.8;0.75;1.0;0.8;1.0;1.0;1.0;0.8;0.75;0.75;0.8;1.0;0.03546099290780142;0.06098654708520179;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.6538461538461539;0.19365912762520193;0.6;1.0;0.4;0.5;0.6;0.8;1.0;0.2;0.2;0.4;0.0;1.0;0.2;0.6;0.0;0.0;"neutral or dissatisfied"
0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.2564102564102564;0.14802100161550888;0.6;0.6;0.6;0.25;0.4;0.6;0.25;0.4;0.4;0.2;0.5;0.5;0.4;0.4;0.026595744680851064;0.04125560538116592;"neutral or dissatisfied"
0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.3717948717948718;0.06058158319870759;0.4;0.0;0.4;0.0;0.2;0.4;0.0;0.2;0.8;0.6;0.75;0.0;0.6;0.2;0.0;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.358974358974359;0.20415993537964458;0.6;0.4;0.4;0.25;0.4;0.8;0.5;0.6;0.6;0.6;0.5;0.5;0.6;0.4;0.0;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.47435897435897434;0.06764943457189014;0.6;0.6;0.4;0.5;0.4;1.0;0.75;0.8;0.8;0.8;0.75;0.5;0.8;0.8;0.004432624113475178;0.021524663677130046;"satisfied"
